"id";"MotionOutcomeAndDescription";"PageURL";"MotionVoteOutcome";"VideoTimeSlot";"MeetingIDValue";"ItemID"
"111";"Passed    Motion To: That the Environmental Services Department undertake specific public consultation during the Solid Waste Management Plan on a four bag limit and that this matter be brought back to Committee and Council in Q1 of 2013 during the Waste Management Plan process; and,
 
That the Solid Waste By-Law regarding bag limits be brought back at the same time to Committee and Council for further consideration.";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=111939";"Passed";NULL;"2229";"111939"
"112";"Passed    Motion To: That the Environment Committee recommend Council approve the revised Solid Waste Management Bylaw as listed in Document 1, to be effective 29 October 2012; as amended by the following:
 
That the Environmental Services Department undertake specific public consultation during the Solid Waste Management Plan on a four bag limit and that this matter be brought back to Committee and Council in Q1 of 2013 during the Waste Management Plan process; and,
 
That the Solid Waste By-Law regarding bag limits be brought back at the same time to Committee and Council for further consideration.";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=111939";"Passed";NULL;"2229";"111939"
"113";"Passed    Motion To: That the Environment Committee refer the West Urban Community – Wastewater Collection System Master Servicing Plan Study report to the Planning Committee.";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=111985";"Passed";NULL;"2229";"111985"
"114";"Passed    Motion To: Minutes 27 of 27 September 2012 ";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=111986";"Passed";NULL;"2230";"111986"
"115";"Passed    Motion To: That the committee RECEIVE the item for information";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=111987";"Passed";NULL;"2230";"111987"
"116";"Passed    Motion To: That the committee RECEIVE the item for information";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=111988";"Passed";NULL;"2230";"111988"
"117";"Passed    Motion To: That the committee RECEIVE the item for information";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=111991";"Passed";NULL;"2230";"111991"
"118";"Passed    Motion To: That the Transit Commission recommend that Council approve: 
1. That OC Transpo continue to provide Para Transpo services through its internal mini-bus service and external taxi contract; and, 
2. That OC Transpo staff be authorized to proceed with the procurement and acquisition of the replacement Para Transpo mini bus fleet. ";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=111992";"Passed";NULL;"2230";"111992"
"119";"Passed    Motion To: That the committee RECEIVE the item for information";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=111993";"Passed";NULL;"2230";"111993"
"120";"No Action    Motion To: RBloess

Whereas this council term is half-way through the current mandate, and 

Whereas the Joint Consultative Committee is not active as the three Councillors representing the City of Ottawa no longer sit on Council, and

Whereas the Transit Commission has not been fulfilling its mandate in regard to interprovincial transit issues within the NCR,

Be It Resolved that the Transit Commission consults with the STO to re-engage the Joint Consultative Committee with representation from Ottawa and Gatineau; and

BIFRT the Chair of the Transit Commission solicit interest from members of the Transit Commission to ascertain membership on the Joint Consultative Committee.

1)	On May 1, 2012 the Deputy City Manager, City Operations and the General Manager of Transit Services met with the General Manager of the Société de transport de l’Outaouais (STO).  At the meeting, both parties agreed to re-establish regular operational meetings, where the management teams will explore opportunities to encourage dialogue.  The General Managers have also made a commitment to go back to their respective commissions to reinstate a working group of elected representatives to discuss issues of mutual interest to both municipalities.   A follow-up meeting has been scheduled in early June to advance the initiatives described above.”

";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=111980";"No Action";NULL;"2230";"111980"
"121";"Passed    Motion To: That Minutes 42 from the meeting of 9 October 2012 be confirmed";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=112836";"Passed";NULL;"2245";"112836"
"122";"Passed    Motion To: That Planning Committee recommend that Council refuse the application to demolish the buildings located at 273 and 275-279 Sussex Drive.";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=112838";"Passed";NULL;"2245";"112838"
"123";"Passed    Motion To: That Planning Committee recommend Council approve that 518 Rochester Street be exempted from the requirements of the Demolition Control By-law subject to the following conditions: 
1. Until the time of construction of the replacement building, the Owner shall be responsible for the installation, to City standards and at no cost to the City, of sod within the City boulevard along the public street frontage of 514, 516, 518, 530 and 532 Rochester Street (including the exterior side lot line of 532 Rochester Street, abutting Pamilla Street); 
2. The Owner provides the City with a certified cheque or bank draft for the securities associated with the above works; 
3. A replacement building for the property shall be substantially commenced within three years from the issuance of a demolition permit and in default thereof, the City Clerk and Solicitor shall enter on the collectors roll the sum of $10,000.00 for each dwelling unit contained in the residential properties demolished; 
4. The Owner enters into an agreement with the City including the foregoing conditions and pays all the costs associated with the registration of the said agreement; 
5. At such time as a building permit is issued to redevelop the site and the replacement building is in place, the above noted agreement will become null and void and will be released upon request by the Owner, and the Owner shall pay all costs associated with the registration of the release from this agreement; and 
6. The approval of this application is null and void if the provisions of Condition 4 above have not been fulfilled within six months of the date of this approval. ";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=112840";"Passed";NULL;"2245";"112840"
"124";"Passed    Motion To: That the Planning Committee recommend Council approve an amendment to Zoning By-law 2008-250 to amend the zoning of 905 Taylor Creek Drive to permit a funeral home, including a crematorium, a visitation centre and a place of worship, and to remove Automobile Service Station, Convenience Store, Car Wash and Gas Bar as permitted uses as detailed in Document 2. ";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=112841";"Passed";NULL;"2245";"112841"
"125";"Passed    Motion To: That Planning Committee recommend Council approve By-law #XXXXXXX, A By-law to Amend Delegated Authority By-law 2012-109 as detailed in Document 1. ";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=112842";"Passed";NULL;"2245";"112842"
"126";"Passed    Motion To: That Recommendation 4 be amended to remove the reference to “as detailed in Document 12.”";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=112843";"Passed";NULL;"2245";"112843"
"127";"Passed    Motion To: 1.         That Document 3 be amended to change Map 1 for the following properties:
a.         250 Tremblay Road be rezoned from MC7 F(3.5) to TD3 with a site specific exception zone;
b.         550 Belfast be rezoned from IG3[263] to TD2 with a site specific exception zone;
c.         330 Coventry Road be rezoned from TD3[aaaa] to TD2[aaaa]
 
2.         That Document 7 be amended to change Map 5 for the following property:
a.         1250 Cyrville Road, (city-owned property on both sides of Cyrville Road) from MC F(2.0) H(48) and MC[1353] H(48) to TD3
 
3.         That Document 9 – Details of Recommended Zoning, Item 1.dd. be replaced with the following:
 
“For the properties being rezoned as shown on Documents 3, 5 and 7 of this report, the TD Zone and its corresponding subzone only applies when a new permitted use, accommodated in a new building, is introduced to the site. Uses that legally exist or have an approval through site plan as of the date of passing of the By-law or are identified under “Additional Land Uses Permitted” are permitted to remain and expand using the TD Zone and provisions outlined in Tables 1, 2 and 3 below as long as they do not exceed the maximum building heights and floor area ratios noted in Tables 1, 2 and 3 below. When the building heights and floor area ratios are exceeded the development must proceed based on the full TD zone regulations. Uses that are permitted in the TD Zone may be introduced to an existing building without triggering the regulations outlined in the TD Zone. Once the TD Zone has been triggered, the exceptions outlined in the chart below no longer apply.”
 
4.         That there be no further notice pursuant to Section 34 (17) of the Planning Act.";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=112843";"Passed";NULL;"2245";"112843"
"128";"Passed    Motion To: That Planning Committee recommend Council:
 
1.         Approve the Transit Oriented Development Plans for Train, St. Laurent and Cyrville areas (distributed separately and on file with the City Clerk – Document 12), and as shown in Document 1;
 
2.         Approve Amendment No. XX to the Official Plan, as detailed in Document 2, to implement the Transit Oriented Development Plans;
 
3.         Approve an amendment to Zoning By-law 2008-250 as shown on the maps in Documents 3 to 8, and as detailed in Document 9; and
 
4.         Approve that staff bring forward for consideration as part of the annual Capital Budget process requests for funding in years 2015 to 2017 to undertake design and implementation of cycling and pedestrian facilities;
 
5.         That Document 3 be amended to change Map 1 for the following properties:
a.         250 Tremblay Road be rezoned from MC7 F(3.5) to TD3 with a site specific exception zone;
b.         550 Belfast be rezoned from IG3[263] to TD2 with a site specific exception zone;
c.         330 Coventry Road be rezoned from TD3[aaaa] to TD2[aaaa];
 
6.         That Document 7 be amended to change Map 5 for the following property:
a.         1250 Cyrville Road, (city-owned property on both sides of Cyrville Road) from MC F(2.0) H(48) and MC[1353] H(48) to TD3;
 
7.         That Document 9 – Details of Recommended Zoning, Item 1.dd. be replaced with the following:
 
“For the properties being rezoned as shown on Documents 3, 5 and 7 of this report, the TD Zone and its corresponding subzone only applies when a new permitted use, accommodated in a new building, is introduced to the site. Uses that legally exist or have an approval through site plan as of the date of passing of the By-law or are identified under “Additional Land Uses Permitted” are permitted to remain and expand using the TD Zone and provisions outlined in Tables 1, 2 and 3 below as long as they do not exceed the maximum building heights and floor area ratios noted in Tables 1, 2 and 3 below. When the building heights and floor area ratios are exceeded the development must proceed based on the full TD zone regulations. Uses that are permitted in the TD Zone may be introduced to an existing building without triggering the regulations outlined in the TD Zone. Once the TD Zone has been triggered, the exceptions outlined in the chart below no longer apply.”, and;
 
8.         That there be no further notice pursuant to Section 34 (17) of the Planning Act.";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=112843";"Passed";NULL;"2245";"112843"
"129";"Passed    Motion To: That the Planning Committee forward its recommendations to the Agriculture and Rural Affairs Committee (ARAC), and request that ARAC not forward both Committees’ respective recommendations to Council until after the conclusion of the Coroner’s Inquest, so that any issues arising from the inquest can be brought forward to Council for that body’s consideration.";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=112845";"Passed";NULL;"2245";"112845"
"130";"Passed    Motion To: That the Planning Committee:
 
1.         Recommend Council repeal the By-law of the City of Ottawa Respecting the Enclosure for Privately Owned Outdoor Pools, By-law 2001-259; and replace it with a new By-law, substantially in the form of Document 1; 
 
2.         Recommend Council direct staff to bring forward a report in January 2013, including timeframes and resource requirements, on a proposed public awareness and education campaign on pool safety and Pool Enclosure By-law requirements, and;
 
3.         Forward its recommendations to the Agriculture and Rural Affairs Committee (ARAC), and request that ARAC not forward both Committees’ respective recommendations to Council until after the conclusion of the Coroner’s Inquest, so that any issues arising from the inquest can be brought forward to Council for that body’s consideration.";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=112845";"Passed";NULL;"2245";"112845"
"131";"Passed    Motion To: WHEREAS these two capital projects are within the mandate of the Transportation Committee (as they deal with the road network and not exclusively the Transitway);

THEREFORE BE IT RESOLVED THAT the Transit Commission refer the following capital projects to the Transportation Committee budget deliberations for their consideration and recommendation to Council: 
906948 – Transit Priorities (p. 31)
907065- 2013 TMP Supplemental Transit Network (pg. 32)";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=112849";"Passed";NULL;"2236";"112849"
"132";"Passed    Motion To: Motion to Table";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=112849";"Passed";NULL;"2236";"112849"
"133";"No Action    Motion To: I have had complaintsabout fumes entering some buses causing difficulties for passengers and drivers. Are the buses checked regularly for infiltration of fumes, and what is being done to ensure good air in the buses?";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=112305";"No Action";NULL;"2236";"112305"
"134";"Passed    Motion To: ";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=114093";"Passed";NULL;"2267";"114093"
"135";"Passed    Motion To: ";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=114094";"Passed";NULL;"2267";"114094"
"136";"Passed    Motion To: ";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=114095";"Passed";NULL;"2267";"114095"
"137";"Passed    Motion To: That the committee RECEIVE the item for information";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=113938";"Passed";NULL;"2267";"113938"
"138";"Passed    Motion To: 1.    That the report recommendation be amended by adding the following: 
 
“And that the Agriculture and Rural Affairs Committee recommend that Zoning By-law not be enacted by Council until such time as the Delegated Authority Report for the Draft Plan of Subdivision is approved.”
 
2.    That Document 2 be amended as follows:
 
Replace 1. With the following:
 
‘1. That the subject lands as shown on Document 1 be rezoned as follows:
(i)    Area A from Development Reserve Subzone 1 (DR1) to Village Residential First Density Subzone 1 rural exception 610 (V1I[610r]); 
(ii)  Area B from Development Reserve Subzone 1 (DR1) to Village Residential Second Density Subzone D rural exception XXX (V2D[XXXr]); 
(iii) Area C from Development Reserve Subzone 1 (DR1) to Open Space (O1);
(iv) Area D Village Residential Second Density Subzone D rural exception 611 (V2D[611r]) to Village Residential First Density Subzone 1 rural exception 610 (V1I[610r].’";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=113920";"Passed";NULL;"2267";"113920"
"139";"Passed    Motion To: That the Agriculture and Rural Affairs Committee recommend Council
 
1.            Approve an amendment to the Zoning By-law 2008-250 to change the zoning of part of 6000 Mary Anne Drive from Development Reserve Subzone 1 (DR1) and Village Residential Second Density Subzone D rural exception 611 (V2D[611r]) to Village Residential First Density Subzone I rural exception 610 (V1I[610r]), Village Residential Second Density Subzone D rural exception XXX (V2D[XXXr]), and Parks and Open Space (O1) as detailed in revised Document 2 and as shown in Document 1; and
 
2.         Not enact the Zoning By-law until such time as the Delegated Authority Report for the Draft Plan of Subdivision is approved.
 ";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=113920";"Passed";NULL;"2267";"113920"
"140";"Passed    Motion To: Whereas a dance studio currently operates at 5710 Longshadow with a square footage of 5000 square feet;
Be It Resolved that the existing dance studio be added to the list of permitted uses, 
Be it further resolved that the dance studio be limited to a square footage of 5000 square feet;
and that no further notice be provided pursuant to Section 34(17) of the Planning Act.
";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=113927";"Passed";NULL;"2267";"113927"
"141";"Passed    Motion To: That the Agriculture and Rural Affairs Committee recommend Council
 
1.         Approve an amendment to Zoning By-law 2008-250 to change the zoning of 5699 Longshadow Street shown as Area A in Document 1 by amending the existing Exception [436r] as detailed in Document 2; and
 
2.            Approve an amendment to Zoning By-law 2008-250 to change the zoning of 5700 and 5710 Longshadow Street shown as Area B in Document 1 by amending the existing Exception [437r] as detailed in Document 2;
 
3.         Approve that the existing dance studio be added to the list of permitted uses, and that the dance studio be limited to a square footage of 5000 square feet; and
 
4.         Approve that no further notice be provided pursuant to Section 34(17) of the Planning Act.";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=113927";"Passed";NULL;"2267";"113927"
"142";"Passed    Motion To: That the Agriculture and Rural Affairs Committee recommend Council approve an amendment to the Zoning By-law 2008-250 to change the zoning of 3281 Dunrobin Road from AG3 (Agriculture, subzone 3) to AG7 (Agriculture, subzone 7), as shown on Document 1.";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=113917";"Passed";NULL;"2267";"113917"
"143";"Passed    Motion To: That the Agriculture and Rural Affairs Committee recommend Council approve an amendment to the Zoning By-law 2008-250 to change the zoning of 2374 Donald B. Munro Drive from AG2 (Agriculture, subzone 2) to AG6 (Agriculture, subzone 6), as shown on Document 1.";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=113922";"Passed";NULL;"2267";"113922"
"144";"Passed    Motion To: Be It Resolved that the staff recommendation be replaced with the following: That the Agriculture and Rural Affairs Committee recommend that Council approve an amendment to the Official Plan to exempt the property at 471 Sangeet Place from General Rural Area previous policies 3.7.2 (7) d) and 14 (currently 3.7.2 (8) d) and 15) to permit a subdivision within one kilometre of the Village Boundary.";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=113931";"Passed";NULL;"2267";"113931"
"145";"Passed    Motion To: That the committee RECEIVE the item for information";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=113936";"Passed";NULL;"2267";"113936"
"146";"Passed    Motion To: That Agriculture and Rural Affairs Committee recommend that Council approve the granting of a non-exclusive License of Occupation Agreement to the Mohr’s Landing / Quyon Port Authority in the general form as described in this report.";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=113925";"Passed";NULL;"2267";"113925"
"147";"Passed    Motion To: That the Minutes 25 of the Finance and Economic Development Committee be CONFIRMED";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=114285";"Passed";NULL;"2150";"114285"
"148";"Passed    Motion To: That the committee RECEIVE the item for information";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=114145";"Passed";NULL;"2150";"114145"
"149";"Passed    Motion To: That the Finance and Economic Development Committee delegate the authority to the Information Technology Sub-Committee to review the Information Technology Services 2013 Draft Operating and Capital Budgets (pages 83 to 90 and pages 137-145) and the ServiceOttawa Capital Budget (p. 148-149) and report its recommendations directly to City Council at the November 28, 2012 Council meeting considering the Budget";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=114085";"Passed";NULL;"2150";"114085"
"150";"Passed    Motion To: That the Finance and Economic Development Committee recommend that Council, sitting as Committee of the Whole, approve the Finance and Economic Development Committee 2013 Draft Operating and Capital Budget, as follows: 1. Elected Officials - Operating Resource Requirement (p. 4). 2. Office of the Auditor General - Operating Resource Requirement (p. 9). 3. City Manager’s Office as follows: a) City Manager - Operating Resource Requirement (p. 15); b) Corporate Programs and Business Services – Operating Resources Requirement (p. 22); 4. Planning and Infrastructure - Real Estate Partnerships and Development Office, as follows: i) User fees (p. 33); ii) Operating Resource Requirement (p. 30). 5. Finance as follows: i) User fees (p. 43-44); ii) Operating Resource Requirement (p. 39). 6. City Clerk and Solicitor Operating Resource Requirement (p. 54). 7. City Operations-Deputy City Manager’s Office Operating Resource Requirement (page 60). 8. ServiceOttawa as follows: i) User fees (p. 72-73); ii) Operating Resource Requirement (p. 69) 9. Human Resources as follows: i) Operating Resource Requirement (p. 79); ii) Capital Budget (p. 146) [individual project listed p. 147]. 10. Corporate Communications Operating Resource Requirement (p. 97) 11. Planning and Infrastructure - Deputy City Manager’s Office Operating Resource Requirement (p. 103). 12. City Manager’s Office – Economic Development and Innovation Operating Resource Requirement (p. 110). 13. Planning and Infrastructure-Rail Implementation Office Operating Resource Requirement (p. 116). 14. Non-Departmental, Operating Resource Requirement (page 124-126). ";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=114085";"Passed";NULL;"2150";"114085"
"151";"Passed    Motion To: WHEREAS the current Council approved methodology governing annual economic adjustments for Management and Professional Exempt (MPE) staff aligns to increases in the Ottawa Consumer Price Index; and WHEREAS this methodology would result in an economic increase of 2.1% in 2013; and WHEREAS Council directed staff to review the current methodology for the MPE economic increases and report back with any recommended changes prior to the 2013 budget deliberations; and WHEREAS a more comprehensive review of MPE compensation is required and the results of this review are not anticipated to be completed and brought before Committee and Council for consideration until late 2014; and WHEREAS Human Resources has reviewed past practice and recommends MPE economic adjustments which provide internal equity and recognize Council’s desire for fiscal restraint within a tax increase of no more than 2.5 per cent; THEREFORE BE IT RESOLVED that draft budgets be prepared based on economic adjustments for Management and Professional Exempt (MPE) staff that mirror those awarded to the Civic Institute of Professional Personnel (CIPP) , until such time as Committee and Council have had the opportunity to review and consider the results of a comprehensive review of MPE compensation resulting in an economic adjustment of 1.93% in 2013, and BE IT FURTHER RESOLVED that staff work within existing delegated authority and budget allocations to develop and implement measures to address current compression issues. ";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=114085";"Passed";NULL;"2150";"114085"
"152";"Passed    Motion To: That the item be amended as per the previous motions.";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=114085";"Passed";NULL;"2150";"114085"
"153";"Passed    Motion To: That the committee RECEIVE the item for information";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=110743";"Passed";NULL;"2150";"110743"
"154";"Passed    Motion To: That the committee RECEIVE the item for information";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=111723";"Passed";NULL;"2150";"111723"
"155";"Passed    Motion To: That the Finance and Economic Development Committee recommend Council approve the execution of a Municipality Contribution Agreement with the Ontario Lottery and Gaming Corporation (OLG) pertaining to slots revenues derived from the slot machines located at the Rideau Carleton Raceway, as outlined in this report.";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=114131";"Passed";NULL;"2150";"114131"
"156";"Passed    Motion To: That the Finance and Economic Development Committee recommend that Council receive the final status report on the implementation of the Enhanced Risk Management Framework. ";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=113914";"Passed";NULL;"2150";"113914"
"157";"Passed    Motion To: 



That the Finance and Economic Development Committee (FEDCO) recommend that Council:
 




1.         Receive the update to the Economic Development Strategy Implementation Plan and associated programs as described in this report;
 




2.         Approve the 2013 Work Program as presented in this report, subject to budget approval; and
 
 




3.        That the Economic Development and Innovation Branch be directed to develop and report back to Finance and Economic Development Committee with a “Film Friendly Guidelines” document that will serve to direct the City of Ottawa and Invest Ottawa in its efforts to advance and promote Ottawa as an attractive destination for production; and
 
That the current Filming Guidelines, Protocol and Working Agreement be updated to reflect the Film Friendly Principles as well as the City’s relationship with Invest Ottawa’s Film, Television and Digital Media Office at Invest Ottawa. ";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=114334";"Passed";NULL;"2150";"114334"
"158";"Passed    Motion To: WHEREAS Ottawa’s film, television and digital media industries are identified as key sectors of development in the City’s Five-Year Economic Development Strategy. 
AND WHEREAS Invest Ottawa’s Film, Television and Digital Media Office assumed the function of, as of January 2012, facilitating film, television and digital media production in Ottawa as well as advancing the continued development, retention, competitiveness, and enhancement of these sectors. 
AND WHEREAS Ottawa’s ability to promote itself as a film, television and digital, media-friendly city is an important component to the success of these industries. 
THEREFORE BE IT RESOLVED that the Economic Development and Innovation Branch be directed to develop and report back to Finance and Economic Development Committee with a “Film Friendly Guidelines” document that will serve to direct the City of Ottawa and Invest Ottawa in its efforts to advance and promote Ottawa as an attractive destination for production; 
AND BE IT FURTHER RESOLVED that the current Filming Guidelines, Protocol and Working Agreement be updated to reflect the Film Friendly Principles as well as the City’s relationship with Invest Ottawa’s Film, Television and Digital Media Office at Invest Ottawa. ";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=114334";"Passed";NULL;"2150";"114334"
"159";"Failed    Motion To: That implementation of the Community Improvement Plan (CIP) program be deferred until staff have developed the eligibility criteria.";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=114334";"Failed";NULL;"2150";"114334"
"160";"Passed    Motion To: That the Finance and Economic Development Committee recommend Council approve: 
1. The Ottawa Accessibility Design Standards attached to this report as Document 1; 
2. Delegate authority to the General Manager, Infrastructure Services and the Deputy City Manager, Planning and Infrastructure to make technical changes or clarifications to the Ottawa Accessibility Design Standards when deemed necessary and to report back to Committee and Council annually through the City of Ottawa Municipal Accessibility Plan (COMAP) report and to the Accessibility Advisory Committee. ";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=112314";"Passed";NULL;"2150";"112314"
"161";"Passed    Motion To: That the Finance and Economic Development Committee recommend Council approve $200,000 as the City’s contribution towards the Ottawa Sens Foundation Community Rink Program for project management costs to develop community rinks on City property with funds from the 2012 Non-departmental for Unforeseen budget.  ";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=112946";"Passed";NULL;"2150";"112946"
"162";"Passed    Motion To: That the Finance and Economic Development Committee declare the following properties as surplus to the City’s needs: 
1. The property known municipally as 1949 Queensdale Avenue and described as part of Tenth Street (to be closed), Registered Plan 326, in the City of Ottawa being all of PIN 043420515, containing an area of 463 m2 (4,983.8 square feet) and shown hatched on Document “1” attached; and 
2. The property known municipally as 3886 Autumnwood Street and described as part of Mory Street (to be closed), Registered Plan 674, in the City of Ottawa being all of PIN 040550276, containing an area of 929 m2 (10,000 square feet) and shown hatched on Document “2” attached. ";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=111299";"Passed";NULL;"2150";"111299"
"163";"Passed    Motion To: That the Finance and Economic Development Committee recommend that Council: 
1. Declare surplus to the City’s needs a non-viable parcel of land shown as hatched on the attached Document 1 containing approximately 0.31ha (0.77 acres) and described as Part of Lot 6, Concession 1, Geographic Township of Kanata, now City of Ottawa, being Part 1 on Plan 4R-23681 (Part of Richardson Side Road) subject to the road being stopped up and closed by by-law; and 
2. Waive City Policy pertaining to the sale of property at market value and approve the sale of land detailed in Recommendation 1 to Richardson Ridge Inc. for $1, plus HST. ";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=111361";"Passed";NULL;"2150";"111361"
"164";"No Action    Motion To: Whereas the Province has dictated the vacant commercial properties may apply for and receive a tax rebate if the property is vacant; and
 
Whereas this subsidy is directly from municipal revenues; and
 
Whereas some properties are allowed to become derelict or create property standards issues;
 
Therefore be it resolved that Council, to encourage activity with respect to these  properties, petition the Province to limit access to this rebate to a three (3) year period.
 
 ";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=105935";"No Action";NULL;"2150";"105935"
"165";"Passed    Motion To: Minutes 22 of the Transportation meeting on 3 October 2012";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=114387";"Passed";NULL;"2178";"114387"
"166";"Passed    Motion To: That the committee RECEIVE the item for information";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=114388";"Passed";NULL;"2178";"114388"
"167";"Passed    Motion To: That Transportation Committee recommend that Council, sitting as Committee of the Whole, approve the Transportation Committee 2013 Draft Operating and Capital Budget as follows: 
1. The Public Works Operating Budget and the Planning and Infrastructure-Transportation Planning Operating Budget (p. 5) as follows: 
a) General Manager Operating Resource Requirement (p. 7); 
b) Business Services Branch Operating Resource Requirement (p. 10); 
c) Traffic Management and Operational Support as follows: 
i) User Fees (p. 17-18); 
ii) Operating Resource Requirement (p. 13); 
d) Roads and Traffic Maintenance as follows: 
i) User Fees (p. 24); 
ii) Operating Resource Requirement (p. 19); 
e) Parking Operations as follows: 
i) User Fees (p. 29-36); 
ii) Parking Operations Operating Resource Requirement (p. 25); 
f) Fleet Services Branch as follows: 
i) User Fees (p. 41); 
ii) Operating Resource Requirement (p. 37); 
g) Planning and Infrastructure -Transportation Planning Operating Resource Requirement (p. 45). 
2. The Transportation Committee Capital Program (pgs. 51-53) as follows: 
a) Fleet Services Capital Budget (p. 54) [individual projects listed p. 55-58]; 
b) Transportation Services Capital Budget (p. 59) [individual projects listed p. 60-112] 
c) Transit Services Capital Budget (p. 113) [individual projects listed p. 114 to 117]. 
3. The Capital Programs referred from the Transit Commission Draft 2013 Budget as follows: 
a) 906948 – Transit Priorities (p. 31 of the Transit Commission 2013 Draft Operating and Capital Budget); 
b) 907065- 2013 TMP Supplemental Transit Network (pg. 32 of the Transit Commission 2013 Draft Operating and Capital Budget). ";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=114088";"Passed";NULL;"2178";"114088"
"168";"Passed    Motion To: That the Transportation Committee: 
1. Receive the update on the Ottawa on the Move projects to be delivered in 2012 to 2014; 
2. Recommend Council approve the project changes facilitated by the Ottawa on the Move Program, as outlined in this report and detailed in Document 2; and 
3. Recommend Council approve the 2012 Capital Budget Adjustments detailed in Document 3. ";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=114143";"Passed";NULL;"2178";"114143"
